transaction_id,account_id,timestamp,amount,transaction_type,merchant_category,channel,home_country,transaction_country,is_international,beneficiary_age_days,new_beneficiary_flag,failed_login_count,device_change_flag,ip_risk_score,account_balance_before,account_balance_after,amount_to_balance_ratio,kyc_risk_band,fraud_label
2077,A1000,2026-01-12 01:42:00,12648.08,IMPS,electronics,mobile_app,India,India,0,15,0,0,0,0.02,127237.82,114589.74,0.0994,Low,0
2452,A1000,2026-01-12 13:22:00,14540.62,UPI,grocery,mobile_app,India,India,0,437,0,0,0,0.275,132472.26,117931.64,0.1098,Low,0
2458,A1000,2026-01-12 16:14:00,12118.0,POS,fuel,mobile_app,India,India,0,315,0,0,0,0.269,131565.64,119447.64,0.0921,Low,0
2467,A1000,2026-01-13 08:40:00,11921.11,CARD_NOT_PRESENT,entertainment,ATM,India,India,0,214,0,0,0,0.026,129612.51,117691.4,0.092,Low,0
108,A1001,2026-01-01 00:23:00,745.66,ATM,entertainment,mobile_app,India,India,0,2,0,1,0,0.048,192319.32,191573.67,0.0039,Low,0
332,A1001,2026-01-01 05:35:00,2531.0,UPI,grocery,mobile_app,India,India,0,2,0,0,0,0.202,174746.37,172215.37,0.0145,Low,0
374,A1001,2026-01-01 11:23:00,1886.92,IMPS,food,mobile_app,India,India,0,242,0,0,0,0.193,219776.65,217889.73,0.0086,Low,0
443,A1001,2026-01-01 20:57:00,3049.88,IMPS,fuel,mobile_app,India,India,0,27,0,0,1,0.084,183353.06,180303.18,0.0166,Low,0
598,A1001,2026-01-02 06:24:00,1794.36,POS,pharmacy,mobile_app,India,India,0,68,0,0,0,0.239,198116.91,196322.55,0.0091,Low,0
606,A1001,2026-01-02 15:27:00,1782.99,UPI,entertainment,mobile_app,India,India,0,157,0,0,0,0.036,173960.08,172177.09,0.0102,Low,0
701,A1001,2026-01-03 16:54:00,1859.46,POS,grocery,web_banking,India,India,0,45,0,0,0,0.166,199305.47,197446.01,0.0093,Low,0
895,A1001,2026-01-04 01:31:00,2058.89,IMPS,electronics,mobile_app,India,India,0,2,0,0,0,0.023,152312.37,150253.48,0.0135,Low,0
981,A1001,2026-01-04 13:36:00,1042.99,POS,entertainment,mobile_app,India,India,0,37,0,0,0,0.161,176713.59,175670.59,0.0059,Low,0
1066,A1001,2026-01-05 20:56:00,1975.16,UPI,electronics,ATM,India,India,0,965,0,0,0,0.284,184217.76,182242.6,0.0107,Low,0
1081,A1001,2026-01-06 10:25:00,1443.2,NEFT,entertainment,mobile_app,India,India,0,589,0,0,0,0.159,199085.78,197642.58,0.0072,Low,0
1099,A1001,2026-01-06 10:36:00,1474.34,ATM,electronics,mobile_app,India,India,0,35,0,0,1,0.276,193966.9,192492.56,0.0076,Low,0
1208,A1001,2026-01-07 15:32:00,5229.03,CARD_NOT_PRESENT,electronics,mobile_app,India,India,0,2,1,5,1,0.676,191884.94,186655.91,0.0273,Low,1
1447,A1001,2026-01-07 17:02:00,2255.16,ATM,electronics,POS_terminal,India,India,0,177,0,0,0,0.19,179013.49,176758.32,0.0126,Low,0
1485,A1001,2026-01-09 14:03:00,2390.6,ATM,grocery,mobile_app,India,India,0,306,0,0,0,0.24,176709.0,174318.39,0.0135,Low,0
1622,A1001,2026-01-10 04:13:00,2034.06,UPI,electronics,web_banking,India,India,0,121,0,0,0,0.272,182566.39,180532.33,0.0111,Low,0
1727,A1001,2026-01-10 05:06:00,2592.69,CARD_NOT_PRESENT,travel,mobile_app,India,India,0,591,0,1,0,0.253,198087.63,195494.93,0.0131,Low,0
1816,A1001,2026-01-10 13:06:00,3088.24,UPI,travel,mobile_app,India,India,0,37,0,2,0,0.302,186518.96,183430.72,0.0166,Low,0
1833,A1001,2026-01-10 21:29:00,1060.9,NEFT,entertainment,web_banking,India,India,0,27,0,0,0,0.166,191131.2,190070.3,0.0056,Low,0
2017,A1001,2026-01-12 08:02:00,2444.87,NEFT,grocery,mobile_app,India,India,0,36,0,0,0,0.106,176544.58,174099.71,0.0138,Low,0
2168,A1001,2026-01-12 13:05:00,2047.84,IMPS,electronics,mobile_app,India,India,0,30,0,0,0,0.153,165110.78,163062.94,0.0124,Low,0
2243,A1001,2026-01-12 19:59:00,2241.65,ATM,fuel,mobile_app,India,India,0,251,0,0,0,0.225,184917.14,182675.49,0.0121,Low,0
2259,A1001,2026-01-13 01:37:00,1741.24,NEFT,grocery,ATM,India,India,0,179,0,0,0,0.107,182972.23,181230.99,0.0095,Low,0
145,A1002,2026-01-01 07:10:00,7823.75,CARD_NOT_PRESENT,grocery,mobile_app,India,India,0,243,0,0,0,0.082,26621.76,18798.01,0.2939,Medium,0
398,A1002,2026-01-01 08:33:00,10146.08,NEFT,travel,mobile_app,India,India,0,49,0,0,0,0.091,36842.01,26695.93,0.2754,Medium,0
511,A1002,2026-01-01 15:27:00,12036.63,UPI,pharmacy,mobile_app,India,India,0,94,0,0,0,0.037,13036.63,1000.0,0.9233,Medium,0
617,A1002,2026-01-01 17:03:00,15173.08,POS,shopping,POS_terminal,India,India,0,16,0,4,1,0.534,22077.63,6904.54,0.6873,Medium,1
622,A1002,2026-01-01 17:19:00,9822.45,NEFT,pharmacy,mobile_app,India,India,0,310,0,0,0,0.273,56119.12,46296.66,0.175,Medium,0
636,A1002,2026-01-03 22:32:00,12199.03,IMPS,fuel,mobile_app,India,India,0,44,0,0,0,0.064,53895.72,41696.69,0.2263,Medium,0
702,A1002,2026-01-04 01:48:00,9183.67,CARD_NOT_PRESENT,food,mobile_app,India,India,0,38,0,0,0,0.119,26044.7,16861.03,0.3526,Medium,0
871,A1002,2026-01-04 04:31:00,13431.4,UPI,food,POS_terminal,India,India,0,111,0,0,0,0.219,15690.05,2258.66,0.856,Medium,0
947,A1002,2026-01-04 13:10:00,10343.59,IMPS,fuel,mobile_app,India,India,0,5,1,0,1,0.182,72278.35,61934.75,0.1431,Medium,0
964,A1002,2026-01-04 15:48:00,8357.98,NEFT,food,mobile_app,India,India,0,331,0,0,0,0.174,18606.33,10248.35,0.4492,Medium,0
974,A1002,2026-01-06 00:42:00,8123.02,CARD_NOT_PRESENT,grocery,mobile_app,India,India,0,36,0,0,0,0.003,48621.46,40498.44,0.1671,Medium,0
1030,A1002,2026-01-06 04:00:00,12597.11,UPI,fuel,mobile_app,India,India,0,91,0,0,0,0.237,33172.81,20575.69,0.3797,Medium,0
1075,A1002,2026-01-06 18:17:00,9226.34,NEFT,shopping,mobile_app,India,India,0,178,0,1,0,0.175,35221.2,25994.86,0.262,Medium,0
1165,A1002,2026-01-07 15:55:00,12109.82,CARD_NOT_PRESENT,fuel,mobile_app,India,India,0,354,0,0,0,0.039,43213.06,31103.24,0.2802,Medium,0
1203,A1002,2026-01-07 17:47:00,37948.12,IMPS,travel,mobile_app,India,India,0,1,1,3,1,0.926,42258.03,4309.92,0.898,Medium,1
1253,A1002,2026-01-08 03:15:00,7217.4,POS,fuel,mobile_app,India,India,0,636,0,0,0,0.239,40047.26,32829.86,0.1802,Medium,0
1345,A1002,2026-01-08 14:24:00,11611.65,UPI,travel,ATM,India,India,0,302,0,0,1,0.216,43378.2,31766.55,0.2677,Medium,0
1379,A1002,2026-01-08 20:09:00,10497.91,UPI,food,mobile_app,India,India,0,27,0,0,1,0.155,32889.1,22391.19,0.3192,Medium,0
1384,A1002,2026-01-09 06:06:00,12005.85,ATM,electronics,POS_terminal,India,India,0,14,0,0,0,0.309,43049.15,31043.3,0.2789,Medium,0
1417,A1002,2026-01-10 15:03:00,8696.12,UPI,entertainment,mobile_app,India,India,0,366,0,1,0,0.066,40417.89,31721.77,0.2152,Medium,0
1425,A1002,2026-01-11 23:49:00,10784.5,CARD_NOT_PRESENT,food,mobile_app,India,India,0,186,0,0,0,0.177,46844.05,36059.55,0.2302,Medium,0
1532,A1002,2026-01-12 09:52:00,11314.77,NEFT,entertainment,mobile_app,India,India,0,664,0,0,0,0.13,33656.69,22341.92,0.3362,Medium,0
1561,A1002,2026-01-13 11:09:00,11151.38,CARD_NOT_PRESENT,entertainment,mobile_app,India,India,0,202,0,0,0,0.217,31944.19,20792.81,0.3491,Medium,0
1624,A1002,2026-01-13 15:19:00,11284.29,UPI,entertainment,web_banking,India,India,0,455,0,0,0,0.065,36876.87,25592.57,0.306,Medium,0
1668,A1002,2026-01-13 23:46:00,19408.04,UPI,food,web_banking,India,UAE,1,100,1,2,1,0.506,20519.96,1111.92,0.9458,Medium,1
1745,A1002,2026-01-14 12:12:00,8855.82,IMPS,fuel,mobile_app,India,India,0,1,0,0,0,0.256,44056.85,35201.04,0.201,Medium,0
1813,A1002,2026-01-14 14:09:00,11805.62,ATM,grocery,mobile_app,India,India,0,62,0,0,0,0.248,29886.04,18080.42,0.395,Medium,0
1814,A1002,2026-01-14 16:15:00,11888.5,IMPS,travel,web_banking,India,India,0,161,0,0,0,0.217,12888.5,1000.0,0.9224,Medium,0
1875,A1002,2026-01-14 16:52:00,17086.15,CARD_NOT_PRESENT,shopping,ATM,India,India,0,24,0,1,1,0.457,56538.63,39452.49,0.3022,Medium,1
1879,A1002,2026-01-14 21:32:00,6695.61,NEFT,electronics,POS_terminal,India,India,0,149,0,0,0,0.13,34609.69,27914.08,0.1935,Medium,0
1886,A1002,2026-01-15 08:34:00,13284.13,NEFT,entertainment,mobile_app,India,India,0,8,0,0,0,0.133,31134.58,17850.45,0.4267,Medium,0
1893,A1002,2026-01-15 23:19:00,12695.73,CARD_NOT_PRESENT,fuel,mobile_app,India,India,0,638,0,0,0,0.169,17969.88,5274.16,0.7065,Medium,0
2002,A1002,2026-01-16 11:12:00,9248.0,ATM,entertainment,mobile_app,India,India,0,20,0,0,0,0.315,37759.63,28511.63,0.2449,Medium,0
2056,A1002,2026-01-16 20:37:00,12216.58,CARD_NOT_PRESENT,pharmacy,mobile_app,India,India,0,247,0,0,0,0.327,53504.53,41287.94,0.2283,Medium,0
2075,A1002,2026-01-17 02:45:00,13609.72,NEFT,shopping,mobile_app,India,India,0,1373,0,0,0,0.034,35675.31,22065.59,0.3815,Medium,0
2136,A1002,2026-01-17 11:12:00,11561.58,POS,travel,mobile_app,India,India,0,3,0,0,1,0.007,41136.58,29575.0,0.2811,Medium,0
2146,A1002,2026-01-18 18:24:00,9301.55,UPI,pharmacy,mobile_app,India,India,0,95,0,0,0,0.115,14475.18,5173.63,0.6426,Medium,0
2203,A1002,2026-01-18 21:36:00,12409.6,ATM,entertainment,mobile_app,India,India,0,728,0,0,0,0.252,56849.13,44439.54,0.2183,Medium,0
2238,A1002,2026-01-19 03:23:00,10442.14,UPI,food,mobile_app,India,India,0,222,0,0,0,0.2,30118.58,19676.45,0.3467,Medium,0
2294,A1002,2026-01-19 04:34:00,10822.44,NEFT,shopping,web_banking,India,India,0,224,0,1,0,0.153,68398.11,57575.68,0.1582,Medium,0
2382,A1002,2026-01-19 10:32:00,8258.4,ATM,pharmacy,mobile_app,India,India,0,70,0,0,0,0.319,18197.96,9939.56,0.4538,Medium,0
156,A1003,2026-01-01 01:25:00,50.0,UPI,fuel,mobile_app,India,India,0,71,0,0,0,0.231,216831.08,216781.08,0.0002,Low,0
299,A1003,2026-01-01 08:56:00,1302.3,NEFT,electronics,mobile_app,India,India,0,48,0,1,0,0.211,229817.87,228515.57,0.0057,Low,0
360,A1003,2026-01-01 11:20:00,5366.13,POS,shopping,mobile_app,India,India,0,121,0,0,0,0.134,221479.0,216112.87,0.0242,Low,0
384,A1003,2026-01-02 01:04:00,50.0,IMPS,grocery,mobile_app,India,India,0,75,0,0,0,0.26,202949.22,202899.22,0.0002,Low,0
396,A1003,2026-01-02 08:52:00,2778.18,NEFT,entertainment,mobile_app,India,India,0,271,0,0,0,0.199,201002.3,198224.12,0.0138,Low,0
476,A1003,2026-01-02 14:00:00,1331.92,UPI,food,mobile_app,India,India,0,216,0,0,0,0.067,234991.57,233659.65,0.0057,Low,0
600,A1003,2026-01-03 02:44:00,780.73,UPI,fuel,mobile_app,India,India,0,108,0,0,0,0.009,225290.39,224509.67,0.0035,Low,0
602,A1003,2026-01-03 11:18:00,50.0,CARD_NOT_PRESENT,electronics,mobile_app,India,India,0,245,0,0,0,0.26,243729.8,243679.8,0.0002,Low,0
682,A1003,2026-01-03 22:36:00,50.0,POS,fuel,mobile_app,India,India,0,863,0,0,1,0.261,225241.81,225191.81,0.0002,Low,0
862,A1003,2026-01-04 08:03:00,329.09,CARD_NOT_PRESENT,travel,mobile_app,India,India,0,82,0,0,0,0.146,218074.98,217745.89,0.0015,Low,0
934,A1003,2026-01-04 13:32:00,179.97,POS,electronics,mobile_app,India,India,0,29,0,0,0,0.34,229318.3,229138.33,0.0008,Low,0
977,A1003,2026-01-05 09:05:00,50.0,NEFT,electronics,mobile_app,India,India,0,114,0,0,0,0.302,254812.02,254762.02,0.0002,Low,0
1000,A1003,2026-01-05 19:14:00,50.0,POS,fuel,web_banking,India,India,0,112,0,0,0,0.21,230360.58,230310.58,0.0002,Low,0
1107,A1003,2026-01-05 19:49:00,50.0,POS,travel,mobile_app,India,UK,1,465,0,0,1,0.194,194842.63,194792.63,0.0003,Low,0
1299,A1003,2026-01-06 14:14:00,2104.36,IMPS,travel,mobile_app,India,India,0,45,0,0,0,0.059,235875.29,233770.93,0.0089,Low,0
1312,A1003,2026-01-06 23:14:00,50.0,NEFT,food,mobile_app,India,India,0,314,0,0,0,0.032,222520.49,222470.49,0.0002,Low,0
1337,A1003,2026-01-07 22:24:00,4812.67,POS,electronics,mobile_app,India,India,0,47,0,0,0,0.27,205710.08,200897.41,0.0234,Low,0
1429,A1003,2026-01-07 22:47:00,50.0,IMPS,travel,mobile_app,India,India,0,171,0,0,0,0.255,212886.57,212836.57,0.0002,Low,0
1450,A1003,2026-01-08 20:20:00,50.0,NEFT,grocery,mobile_app,India,India,0,105,0,0,0,0.283,198249.0,198199.0,0.0003,Low,0
1492,A1003,2026-01-08 22:40:00,645.36,POS,fuel,mobile_app,India,India,0,43,0,0,0,0.312,214594.87,213949.51,0.003,Low,0
1689,A1003,2026-01-09 02:37:00,50.0,UPI,fuel,web_banking,India,India,0,0,0,0,0,0.249,252532.07,252482.07,0.0002,Low,0
1797,A1003,2026-01-09 06:35:00,1000.0,CARD_NOT_PRESENT,food,mobile_app,India,India,0,11,0,3,1,0.663,220324.73,219324.73,0.0045,Low,1
1855,A1003,2026-01-09 14:14:00,5143.25,IMPS,food,web_banking,India,India,0,210,0,0,0,0.034,229481.81,224338.56,0.0224,Low,0
1950,A1003,2026-01-09 15:16:00,50.0,NEFT,travel,mobile_app,India,India,0,624,0,0,0,0.249,207974.87,207924.87,0.0002,Low,0
2039,A1003,2026-01-09 15:19:00,5668.88,IMPS,electronics,mobile_app,India,India,0,459,0,0,0,0.027,185822.01,180153.13,0.0305,Low,0
2065,A1003,2026-01-09 23:28:00,2838.14,UPI,travel,mobile_app,India,India,0,119,0,0,0,0.04,221262.32,218424.18,0.0128,Low,0
2179,A1003,2026-01-10 03:36:00,1399.17,ATM,entertainment,mobile_app,India,India,0,102,0,0,0,0.325,209696.12,208296.95,0.0067,Low,0
2196,A1003,2026-01-10 19:04:00,1669.17,IMPS,grocery,mobile_app,India,India,0,169,0,0,0,0.097,210150.04,208480.87,0.0079,Low,0
2221,A1003,2026-01-11 08:39:00,50.0,NEFT,entertainment,mobile_app,India,India,0,39,0,0,0,0.13,237390.97,237340.97,0.0002,Low,0
2306,A1003,2026-01-11 14:42:00,50.0,UPI,travel,web_banking,India,India,0,45,0,0,0,0.083,197649.76,197599.76,0.0003,Low,0
2487,A1003,2026-01-12 14:38:00,846.99,NEFT,entertainment,mobile_app,India,India,0,88,0,0,0,0.103,221764.43,220917.44,0.0038,Low,0
2491,A1003,2026-01-12 21:03:00,898.41,CARD_NOT_PRESENT,fuel,mobile_app,India,Singapore,1,12,0,0,0,0.237,219658.4,218760.0,0.0041,Low,0
12,A1004,2026-01-01 02:36:00,2923.71,IMPS,shopping,mobile_app,India,India,0,12,0,0,0,0.277,245902.71,242979.0,0.0119,Low,0
209,A1004,2026-01-01 04:18:00,3977.39,NEFT,entertainment,ATM,India,India,0,131,0,0,0,0.181,251458.37,247480.98,0.0158,Low,0
211,A1004,2026-01-01 17:03:00,3081.88,NEFT,fuel,mobile_app,India,India,0,17,0,0,0,0.091,265594.66,262512.78,0.0116,Low,0
249,A1004,2026-01-01 20:45:00,2667.79,UPI,pharmacy,mobile_app,India,India,0,27,0,1,0,0.332,243396.33,240728.55,0.011,Low,0
565,A1004,2026-01-01 20:48:00,2408.55,IMPS,grocery,mobile_app,India,India,0,62,0,0,0,0.119,265212.59,262804.04,0.0091,Low,0
616,A1004,2026-01-03 04:41:00,1848.52,IMPS,grocery,web_banking,India,India,0,69,0,0,0,0.178,263197.87,261349.35,0.007,Low,0
654,A1004,2026-01-03 13:34:00,1316.65,IMPS,shopping,mobile_app,India,India,0,11,0,1,0,0.003,265379.17,264062.52,0.005,Low,0
704,A1004,2026-01-03 17:08:00,1911.12,ATM,shopping,ATM,India,India,0,91,0,0,0,0.2,236821.45,234910.32,0.0081,Low,0
764,A1004,2026-01-03 20:38:00,2610.04,ATM,entertainment,mobile_app,India,India,0,75,0,1,0,0.014,227363.74,224753.7,0.0115,Low,0
814,A1004,2026-01-04 05:29:00,4033.1,CARD_NOT_PRESENT,food,mobile_app,India,India,0,88,0,0,0,0.228,252754.74,248721.64,0.016,Low,0
841,A1004,2026-01-04 11:13:00,2734.37,CARD_NOT_PRESENT,pharmacy,mobile_app,India,India,0,36,0,0,0,0.027,249204.95,246470.57,0.011,Low,0
888,A1004,2026-01-04 22:33:00,2391.44,CARD_NOT_PRESENT,travel,mobile_app,India,India,0,396,0,0,1,0.149,243304.85,240913.41,0.0098,Low,0
920,A1004,2026-01-05 21:55:00,2339.14,ATM,travel,POS_terminal,India,India,0,78,0,0,1,0.286,244777.56,242438.42,0.0096,Low,0
923,A1004,2026-01-06 04:09:00,2123.54,CARD_NOT_PRESENT,fuel,mobile_app,India,India,0,266,0,0,0,0.037,239911.34,237787.79,0.0089,Low,0
1043,A1004,2026-01-06 18:36:00,3298.16,CARD_NOT_PRESENT,entertainment,mobile_app,India,India,0,10,0,0,0,0.199,239818.37,236520.21,0.0138,Low,0
1177,A1004,2026-01-06 21:34:00,2097.36,IMPS,pharmacy,mobile_app,India,India,0,98,0,0,0,0.111,256323.06,254225.71,0.0082,Low,0
1249,A1004,2026-01-07 10:35:00,3332.55,NEFT,shopping,mobile_app,India,UAE,1,57,0,0,0,0.207,249654.0,246321.45,0.0133,Low,0
1472,A1004,2026-01-07 11:50:00,2818.2,POS,grocery,web_banking,India,India,0,196,0,0,0,0.211,220920.7,218102.51,0.0128,Low,0
1647,A1004,2026-01-08 18:05:00,2859.0,IMPS,fuel,mobile_app,India,India,0,191,0,0,0,0.335,251011.26,248152.26,0.0114,Low,0
2130,A1004,2026-01-09 05:09:00,2357.38,UPI,pharmacy,web_banking,India,India,0,4,0,0,0,0.097,240216.51,237859.13,0.0098,Low,0
2141,A1004,2026-01-09 11:19:00,3250.22,UPI,electronics,web_banking,India,India,0,288,0,0,0,0.192,257694.25,254444.02,0.0126,Low,0
2212,A1004,2026-01-10 09:36:00,2742.51,IMPS,shopping,mobile_app,India,India,0,109,0,0,0,0.297,260959.14,258216.63,0.0105,Low,0
2344,A1004,2026-01-10 11:50:00,2936.2,IMPS,fuel,ATM,India,India,0,240,0,0,0,0.253,242301.76,239365.56,0.0121,Low,0
2456,A1004,2026-01-10 12:22:00,5207.01,POS,food,ATM,India,UAE,1,17,1,0,0,0.695,294603.17,289396.16,0.0177,Low,1
2466,A1004,2026-01-10 18:15:00,2746.36,NEFT,fuel,mobile_app,India,India,0,216,0,0,0,0.312,251422.14,248675.78,0.0109,Low,0
2495,A1004,2026-01-11 09:20:00,3484.08,IMPS,grocery,mobile_app,India,India,0,75,0,0,0,0.154,237031.16,233547.08,0.0147,Low,0
2,A1005,2026-01-01 01:03:00,11536.1,CARD_NOT_PRESENT,electronics,web_banking,India,UAE,1,4,0,0,1,0.559,62012.77,50476.67,0.186,Low,1
219,A1005,2026-01-01 21:21:00,2794.94,IMPS,grocery,mobile_app,India,India,0,118,0,1,0,0.116,58029.51,55234.57,0.0482,Low,0
266,A1005,2026-01-02 04:09:00,2870.9,POS,grocery,mobile_app,India,India,0,82,0,0,0,0.244,67358.84,64487.94,0.0426,Low,0
433,A1005,2026-01-02 10:35:00,3568.79,IMPS,electronics,mobile_app,India,India,0,248,0,0,0,0.009,58969.05,55400.25,0.0605,Low,0
498,A1005,2026-01-02 16:31:00,3068.68,NEFT,fuel,ATM,India,India,0,353,0,0,0,0.076,92896.6,89827.92,0.033,Low,0
569,A1005,2026-01-03 08:21:00,3571.75,POS,food,mobile_app,India,India,0,9,0,0,0,0.023,51819.27,48247.52,0.0689,Low,0
695,A1005,2026-01-03 11:11:00,5959.86,IMPS,electronics,mobile_app,India,India,0,82,0,0,0,0.295,92058.82,86098.95,0.0647,Low,0
849,A1005,2026-01-03 15:26:00,3354.38,ATM,electronics,mobile_app,India,India,0,75,0,0,0,0.161,62276.66,58922.28,0.0539,Low,0
872,A1005,2026-01-04 09:56:00,3897.59,POS,travel,mobile_app,India,India,0,28,0,0,0,0.295,71976.91,68079.32,0.0542,Low,0
951,A1005,2026-01-04 21:12:00,2289.75,POS,travel,mobile_app,India,India,0,50,0,0,0,0.055,88987.93,86698.17,0.0257,Low,0
1038,A1005,2026-01-04 21:30:00,18167.11,IMPS,shopping,mobile_app,India,India,0,0,1,0,0,0.694,77898.8,59731.7,0.2332,Low,1
1112,A1005,2026-01-04 21:58:00,1181.46,CARD_NOT_PRESENT,food,mobile_app,India,India,0,26,0,0,0,0.08,70009.09,68827.62,0.0169,Low,0
1385,A1005,2026-01-05 00:52:00,3004.85,UPI,electronics,mobile_app,India,India,0,234,0,0,1,0.247,66557.04,63552.19,0.0451,Low,0
1480,A1005,2026-01-07 07:37:00,1943.15,NEFT,shopping,ATM,India,India,0,182,0,0,0,0.002,77963.13,76019.98,0.0249,Low,0
1850,A1005,2026-01-07 14:46:00,3415.83,IMPS,electronics,mobile_app,India,India,0,31,0,0,0,0.267,85989.08,82573.25,0.0397,Low,0
1983,A1005,2026-01-08 08:06:00,3979.85,NEFT,pharmacy,ATM,India,India,0,192,0,2,0,0.215,64982.26,61002.41,0.0612,Low,0
2001,A1005,2026-01-08 14:08:00,1886.28,CARD_NOT_PRESENT,fuel,mobile_app,India,India,0,236,0,0,0,0.235,58816.44,56930.16,0.0321,Low,0
2048,A1005,2026-01-08 20:26:00,4844.31,CARD_NOT_PRESENT,food,mobile_app,India,India,0,36,0,0,0,0.076,99181.7,94337.39,0.0488,Low,0
2149,A1005,2026-01-09 15:38:00,6067.21,IMPS,shopping,POS_terminal,India,India,0,440,0,0,0,0.107,80655.42,74588.2,0.0752,Low,0
2205,A1005,2026-01-10 07:33:00,498.11,NEFT,fuel,ATM,India,India,0,213,0,0,0,0.172,59183.16,58685.05,0.0084,Low,0
2215,A1005,2026-01-12 10:10:00,3526.87,NEFT,electronics,mobile_app,India,India,0,286,0,2,0,0.345,78862.56,75335.69,0.0447,Low,0
2249,A1005,2026-01-12 10:32:00,4445.01,NEFT,food,mobile_app,India,India,0,169,0,0,0,0.033,76261.25,71816.24,0.0583,Low,0
2335,A1005,2026-01-12 16:47:00,12330.68,CARD_NOT_PRESENT,shopping,POS_terminal,India,Singapore,1,36,0,2,1,0.785,89184.77,76854.09,0.1383,Low,1
2367,A1005,2026-01-13 16:08:00,5616.92,POS,grocery,mobile_app,India,India,0,48,0,0,0,0.299,69161.25,63544.34,0.0812,Low,0
